"career","subject","difficulty","question_text","option_a","option_b","option_c","correct_option","explanation","is_active"
"Licenciatura en Administración","Administración I","media","¿Cuál es la principal diferencia entre la administración como ciencia y la administración como técnica, según los documentos?","La ciencia opera sobre la realidad transformándola, mientras que la técnica busca explicar el comportamiento de los objetos.","La ciencia busca conocer, explicar y predecir comportamientos, mientras que la técnica es el vehículo de instrumentación que opera sobre la realidad.","La ciencia se desarrolla de forma individual y vivencial, mientras que la técnica utiliza el método científico para investigar.","B","La ciencia investiga y explica mediante el método científico, mientras que la técnica aplica reglas y procedimientos para transformar la realidad .","true"
"Licenciatura en Administración","Administración I","media","Una organización decide medir su capacidad de producción por unidad de trabajo (Producto / Insumos). ¿Qué criterio de evaluación está aplicando?","Eficacia.","Efectividad.","Productividad.","C","La productividad se define específicamente como la relación entre el producto obtenido y los insumos utilizados .","true"
"Licenciatura en Administración","Administración I","media","Según Schlemenson, ¿cuál es el error que lleva al fracaso al introducir una nueva tecnología en el sistema organizativo?","No subdividir el proyecto en metas cuantificables.","No prever los desequilibrios psicosociales que puede generar en los empleados.","No contar con un organigrama que grafique los niveles jerárquicos.","B","Schlemenson destaca que planificar tecnología sin considerar el impacto psicosocial en los individuos es un error crítico .","true"
"Licenciatura en Administración","Administración I","media","Un gerente de nivel medio se encarga principalmente de:","Establecer la misión general y las políticas de largo plazo de toda la empresa.","Supervisar directamente a los operarios encargados de la producción de bienes.","Traducir las metas de la alta dirección en planes específicos para los gerentes de primera línea.","C","Los gerentes de nivel medio actúan como enlace, traduciendo objetivos estratégicos en planes operativos .","true"
"Licenciatura en Administración","Administración I","media","¿Cuál es un pilar fundamental de la Organización Racional del Trabajo (ORT) propuesta por Taylor?","La descentralización de la toma de decisiones hacia los operarios.","El análisis del trabajo y estudio de tiempos y movimientos.","El énfasis en la estructura organizacional por sobre las tareas.","B","La ORT busca sustituir métodos empíricos por científicos mediante el estudio de tiempos para eliminar movimientos inútiles .","true"
"Licenciatura en Administración","Administración I","media","Fayol define la 'Unidad de Mando' como el principio por el cual:","Un grupo de actividades con el mismo objetivo debe tener un solo jefe y un solo plan.","Cada empleado debe recibir órdenes de un solo superior para evitar conflictos.","La autoridad debe concentrarse exclusivamente en la cúpula jerárquica.","B","La unidad de mando establece que cada subordinado debe responder a un único jefe .","true"
"Licenciatura en Administración","Administración I","media","¿Qué concluyó el experimento de Hawthorne respecto al nivel de producción de los trabajadores?","Depende exclusivamente de las condiciones físicas como la iluminación.","Es el resultado de la integración social y las normas grupales.","Se maximiza mediante la especialización extrema de las tareas.","B","Mayo demostró que la capacidad social y la pertenencia al grupo determinan la eficiencia más que la capacidad física .","true"
"Licenciatura en Administración","Administración I","media","En el modelo burocrático de Weber, ¿qué significa el carácter 'legal' de las normas?","Que las decisiones se toman por carisma personal del líder.","Que la organización está unida por normas y reglamentos escritos de antemano.","Que los subordinados obedecen por lealtad a las tradiciones ancestrales.","B","La burocracia se basa en preceptos legales y normas escritas que definen la autoridad .","true"
"Licenciatura en Administración","Administración I","media","Una disfunción de la burocracia identificada por Merton es:","La rapidez en la toma de decisiones por canales preestablecidos.","La internalización de las reglas, donde cumplir el reglamento se vuelve el objetivo principal.","La meritocracia basada en la competencia técnica.","B","El apego exagerado a los reglamentos hace que el burócrata olvide los fines de la organización .","true"
"Licenciatura en Administración","Administración I","media","Según la Teoría General de Sistemas, la 'Entropía Negativa' es el proceso por el cual:","Los sistemas tienden naturalmente al desorden y la destrucción.","La organización importa más energía del ambiente de la que consume para sobrevivir.","Un cambio en una unidad del sistema no afecta al resto de las partes.","B","La entropía negativa (neguentropía) permite a los sistemas abiertos evitar el caos acumulando reservas de energía .","true"
