"career","subject","difficulty","question_text","option_a","option_b","option_c","correct_option","explanation","is_active"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál es la principal diferencia entre la concepción de la economía de Lord Robbins y la de James Buchanan según los textos?","Robbins se centra en el intercambio recíproco, mientras que Buchanan se enfoca en la elección tecnológica.","Robbins define la economía como el estudio de la elección entre fines alternativos y recursos escasos, mientras que Buchanan prioriza el estudio del intercambio.","Robbins considera que la economía es un problema de cooperación social, mientras que Buchanan la ve como un problema de asignación de recursos.","B","Robbins ve el problema económico como uno de asignación/elección de recursos escasos para fines competitivos, mientras que Buchanan critica que se olvidó el principio de la propensión al intercambio de Adam Smith.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","En el contexto de la Frontera de Posibilidades de Producción (FPP), ¿qué indica un punto situado por debajo de la curva?","Que la economía es eficiente pero no puede producir más de un bien sin sacrificar otro.","Que la economía es ineficiente, posiblemente debido a recursos desempleados o mal asignados.","Que la combinación de bienes es inalcanzable dados los factores productivos actuales.","B","Un punto dentro o debajo de la FPP indica ineficiencia productiva, ya que la economía no está utilizando al máximo sus recursos disponibles.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si el precio de la nafta baja y esto provoca un aumento en la demanda de autos, ¿cómo se clasifican estos bienes?","Bienes sustitutos.","Bienes independientes.","Bienes complementarios.","C","Los bienes son complementarios si el aumento (o disminución) del precio de uno disminuye (o aumenta) la demanda del otro, al utilizarse conjuntamente.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál de las siguientes es una característica distintiva del pensamiento Mercantilista frente a la Fisiocracia?","Considerar que la riqueza de una nación reside en la posesión de metales preciosos (oro y plata).","Sostener que la única actividad capaz de generar un producto neto es el trabajo de la tierra.","Promover el libre cambio y la mínima intervención del Estado en la economía.","A","El mercantilismo se basa en que los metales preciosos constituyen la riqueza de los estados, mientras que la fisiocracia sitúa el origen de la riqueza en la tierra.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","De acuerdo con el modelo de flujo circular, ¿qué papel desempeñan las familias en el mercado de factores de producción?","Son las compradoras de los servicios productivos ofrecidos por las empresas.","Son las vendedoras o proveedoras de insumos como trabajo, tierra y capital.","Son las encargadas de fijar los precios de los bienes finales de consumo.","B","En el mercado de factores, las familias venden o alquilan sus recursos (trabajo, tierra, capital) a las empresas para que estas produzcan.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si una economía experimenta una mejora tecnológica que solo beneficia la producción de uno de los dos bienes representados en la FPP, ¿cómo se representa gráficamente?","Un desplazamiento paralelo de toda la curva hacia la derecha.","La curva pivota sobre el eje del bien cuya tecnología no cambió, expandiéndose sobre el eje del bien beneficiado.","Un movimiento a lo largo de la frontera actual sin que esta se desplace.","B","Un descubrimiento tecnológico en un solo sector permite incrementar la producción de ese bien sin afectar la máxima producción del otro, resultando en un pivot de la curva.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Qué fenómeno se produce cuando un individuo en una acción colectiva trata de no contribuir con el esfuerzo que le toca, beneficiándose del esfuerzo del resto?","Azar moral.","Selección adversa.","Fenómeno de free rider.","C","El fenómeno del free rider ocurre cuando los individuos evitan contribuir al esfuerzo colectivo esperando que otros lo hagan por ellos.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Según la teoría subjetiva del valor, ¿qué determina el valor de un bien?","La cantidad de horas de trabajo necesarias para producirlo.","La apreciación o deseo del individuo por el bien, independientemente de sus costos de producción.","La escasez absoluta de los recursos naturales utilizados en su fabricación.","B","La teoría subjetiva sostiene que el valor lo da el individuo; si nadie desea el bien, este no vale nada aunque haya costado mucho producirlo.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si la elasticidad-precio de la demanda de un bien es igual a 2, se dice que la demanda es:","Inelástica.","Elástica.","De elasticidad unitaria.","B","Una demanda es elástica cuando el valor absoluto de su elasticidad es mayor que 1, indicando una alta sensibilidad al precio.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál es la consecuencia típica de que el Estado imponga un precio máximo por debajo del precio de equilibrio de mercado?","Un exceso de oferta o excedente de mercadería.","Un exceso de demanda o escasez de producto.","El mercado se mantiene en equilibrio sin alteraciones en las cantidades comercializadas.","B","Un precio máximo restrictivo impide que el precio suba al nivel de equilibrio, provocando que se demande más de lo que se ofrece.","true"
