"career","subject","difficulty","question_text","option_a","option_b","option_c","correct_option","explanation","is_active"
"Licenciatura en Administración","Contabilidad I","media","¿Cuál es la condición fundamental para que un recurso económico sea reconocido como Activo según la teoría contable presentada?","Que el bien haya sido pagado en su totalidad al momento de la incorporación.","Que el ente controle los beneficios económicos que el bien produce debido a un hecho ya ocurrido.","Que el bien sea de naturaleza tangible y tenga una vida útil superior a un año.","B","Según las fuentes, un activo se reconoce cuando, debido a un hecho del pasado, el ente controla los beneficios que los bienes producen y se les puede asignar un valor.","true"
"Licenciatura en Administración","Contabilidad I","media","En una conciliación bancaria, ¿cuál de las siguientes partidas se considera una 'diferencia temporaria' que no requiere un asiento de ajuste inmediato?","Notas de débito bancarias por comisiones no registradas por el ente.","Cheques emitidos por el ente y aún no presentados al cobro por los beneficiarios.","Depósitos de efectivo omitidos en la registración del libro diario del ente.","B","Las partidas temporarias, como los cheques pendientes de cobro, se eliminan con el transcurso del tiempo y no requieren ajuste contable, a diferencia de las omisiones o gastos bancarios.","true"
"Licenciatura en Administración","Contabilidad I","media","Al utilizar el sistema de inventario periódico, ¿cómo se determina el Costo de Mercaderías Vendidas (CMV)?","Mediante la sumatoria de los costos registrados inmediatamente después de cada venta.","A través de la fórmula: Existencia Inicial + Compras Netas - Existencia Final.","Multiplicando la cantidad de unidades vendidas por el precio de reposición al cierre.","B","En el sistema periódico, el costo de ventas se calcula de manera diferida al final del periodo por diferencia de inventario utilizando la fórmula mencionada.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué representa la 'Prima de Emisión' en el Patrimonio Neto?","El valor nominal total de las acciones en circulación de una sociedad anónima.","El excedente pagado por sobre el valor nominal de una acción para mantener la equidad entre accionistas.","La ganancia neta del ejercicio que la asamblea decide no distribuir.","B","La prima de emisión es el sobreprecio pagado por encima del valor nominal para proteger a los accionistas actuales contra el deterioro del valor patrimonial ante nuevas emisiones.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Cuál es el tratamiento contable correcto para una 'Mejora' en un Bien de Uso?","Se imputa directamente como un resultado negativo del ejercicio en el que se realiza.","Se activa incrementando el valor del bien, ya que aumenta su capacidad operativa o vida útil.","Se registra como una cuenta de orden por ser una contingencia de mayor valor futuro.","B","Las mejoras suponen la incorporación de un nuevo valor al activo porque extienden su vida útil o incrementan su productividad, a diferencia del mantenimiento o reparaciones.","true"
"Licenciatura en Administración","Contabilidad I","media","De acuerdo al principio de 'Devengado', ¿cuándo deben reconocerse los efectos patrimoniales de las transacciones?","En el momento en que se produce el ingreso o egreso de los fondos (cobro o pago).","En el periodo en que ocurre el hecho generador, independientemente de cuándo se cobre o pague.","Únicamente al cierre del ejercicio económico para facilitar la exposición en los estados contables.","B","El criterio de devengado establece que las variaciones deben imputarse al periodo del hecho generador sin importar la cancelación de la deuda o crédito.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué requisitos debe cumplir una contingencia para ser reconocida contablemente con incidencia patrimonial (Previsión)?","Ser meramente posible y estar relacionada con hechos del futuro incierto.","Ser altamente probable, cuantificable objetivamente y derivar de un hecho del presente o pasado.","Haber sido aprobada por la asamblea de accionistas como una reserva de previsión.","B","Para registrar una previsión, el hecho sustancial debe corresponder al periodo, tener alta probabilidad de ocurrencia y ser cuantificable.","true"
"Licenciatura en Administración","Contabilidad I","media","En el método de costeo PEPS (Primero Entrado, Primero Salido), ¿cómo quedan valuadas las existencias finales?","A los precios de las primeras compras del ejercicio.","A los costos de las adquisiciones más recientes.","Al promedio ponderado de todos los costos de entrada.","B","Bajo PEPS, se supone que las primeras unidades en entrar son las primeras en salir, por lo que el inventario final queda valuado a los costos más recientes.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Cuál es la característica principal de los 'Activos Intangibles'?","Son derechos contra terceros que representan sumas de dinero a cobrar en el corto plazo.","Son bienes inmateriales que confieren derechos valiosos y se utilizan en la actividad del ente sin fines de venta.","Son activos que carecen de valor de cambio y solo poseen valor de uso para el ente.","B","Los intangibles son activos no corpóreos, adquiridos o desarrollados para la actividad específica, cuya utilidad reside en la generación de ingresos futuros.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué diferencia a una 'Ganancia' de un 'Ingreso' según la terminología contable?","Los ingresos provienen de la actividad principal; las ganancias son operaciones incidentales o del contexto sin esfuerzo directo.","Las ganancias siempre implican flujo de efectivo, mientras que los ingresos pueden ser a crédito.","Los ingresos son netos, mientras que las ganancias son valores brutos antes de gastos.","A","Los ingresos se generan por la actividad económica (venta), mientras que las ganancias son aumentos patrimoniales netos por hechos ajenos a la gestión principal.","true"
